name,brand,company,vintage,drink_type,wine_type,varietal_label,alcohol,bottle_size,case_production,country,state,appellation,designation,retail,rating,reviewer,review,date_of_review,date_received,pub_date_web,slug
Handley 2017 RSM Vineyard Pinot Noir (Anderson Valley),Handley,Handley Cellars,2017,wine,Red,Pinot Noir,0.1290,750 ml,443,USA,California,Anderson Valley,RSM Vineyard,55,93,J.G.,"Enticing black-fruit flavors come with a good sense of restraint in this complex, medium-bodied wine. It is nicely dry, nervy in mouthfeel, and energized by moderate tannins. Best through 2028.",2020-06-09,2020-06-08,2020-11-01,handley-2017-rsm-vineyard-pinot-noir-anderson-valley
Handley 2017 Estate Pinot Noir (Anderson Valley),Handley,Handley Cellars,2017,wine,Red,Pinot Noir,0.1330,750 ml,352,USA,California,Anderson Valley,Estate,50,92,J.G.,"Concentrated black-fruit, mint and tea flavors and a lightly tannic texture characterize this tempting, well-balanced wine. It has a fine sense of depth in the flavors and an appetizing grip on the palate.",2020-06-09,2020-06-08,2020-11-01,handley-2017-estate-pinot-noir-anderson-valley
Handley 2017 Roderick Ranch Pinot Noir (Anderson Valley),Handley,Handley Cellars,2017,wine,Red,Pinot Noir,0.1290,750 ml,270,USA,California,Anderson Valley,Roderick Ranch,50,92,J.G.,"This medium-bodied wine is warm and broad, showing wonderful ripe plum and black-cherry flavors matched with subtle acidity and a rounded texture backed by fine-grained tannins. Cinnamon and allspice join with the concentrated fruit flavors to add complexity.",2020-06-09,2020-06-08,2020-11-01,handley-2017-roderick-ranch-pinot-noir-anderson-valley
Handley 2017 Helluva Pinot Noir (Anderson Valley),Handley,Handley Cellars,2017,wine,Red,Pinot Noir,0.1380,750 ml,431,USA,California,Anderson Valley,Helluva,45,90,J.G.,"This fragrant and firmly textured wine from a 10-acre vineyard near Boonville, California, offers complex fruit and dark-spice flavors and very good balance.",2020-06-09,2020-06-08,2020-11-01,handley-2017-helluva-pinot-noir-anderson-valley
Halcón 2017 Oppenlander Vineyard Pinot Noir (Mendocino County),Halcón,Halcon Vineyards,2017,wine,Red,Pinot Noir,0.1330,750 ml,215,USA,California,Mendocino County,Oppenlander Vineyard,35,92,J.G.,"This medium-bodied wine blends good, nervy raspberry and sour cherry aromas with savory, woodsy flavors that are not so fruit-centered but tempting and complex, from black tea to rhubarb and mushroom. Good acidity and moderate tannins form a firm texture that will enable at least mid-term aging. Best through 2025.",2019-12-02,2019-11-22,2020-04-01,halcon-2017-oppenlander-vineyard-pinot-noir-mendocino-county
Goldeneye 2017 Pinot Noir (Anderson Valley),Goldeneye,Duckhorn Vineyards,2017,wine,Red,Pinot Noir,0.1450,750 ml,19300,USA,California,Anderson Valley,,58,89,J.G.,"This attractive, ultrasmooth, full-bodied wine gently wraps black cherries and mulled plums in soft tannins and modest acidity for a warm, mouthcoating effect.",2020-09-24,2020-09-09,2020-12-31,goldeneye-2017-pinot-noir-anderson-valley
Goldeneye 2017 Confluence Lower Bench Pinot Noir (Anderson Valley),Goldeneye,Duckhorn Vineyards,2017,wine,Red,Pinot Noir,0.1450,750 ml,341,USA,California,Anderson Valley,Confluence Lower Bench,86,93,J.G.,"This wine is very ripe, generous and full bodied, offering warm strawberry, red- and black-cherry aromas followed by equally fruity flavors and baking-spice accents from new oak barrels. It's seductive and velvety on the palate.",2020-03-11,2020-03-06,2020-08-01,goldeneye-2017-confluence-lower-bench-pinot-noir-anderson-valley
Goldeneye 2017 Confluence Hillside Pinot Noir (Anderson Valley),Goldeneye,Duckhorn Vineyards,2017,wine,Red,Pinot Noir,0.1450,750 ml,345,USA,California,Anderson Valley,Confluence Hillside,86,94,J.G.,"This full-bodied wine leads with enticing wood-smoke and dark-spice aromas, followed by expansive, attractive and concentrated black-fruit flavors wrapped in firm but velvety tannins. Aged in 60% new French barrels, it shows a certain swagger.",2020-03-11,2020-03-06,2020-08-01,goldeneye-2017-confluence-hillside-pinot-noir-anderson-valley
Goldeneye 2017 Split Rail Pinot Noir (Anderson Valley),Goldeneye,Duckhorn Vineyards,2017,wine,Red,Pinot Noir,0.1450,750 ml,348,USA,California,Anderson Valley,Split Rail,86,95,J.G.,"A very concentrated core of delicious black fruits gives great focus to this full-bodied, powerful but polished wine made from nine different clones of Pinot Noir. Layers of black cherry, black currant and black tea are energized by lively acidity and moderate tannins, setting the wine up for good age-ability. This is the most impressive Split Rail since at least 2012. Best through 2027.",2020-03-11,2020-03-06,2020-08-01,goldeneye-2017-split-rail-pinot-noir-anderson-valley
Goldeneye 2017 Confluence Pinot Noir (Anderson Valley),Goldeneye,Duckhorn Vineyards,2017,wine,Red,Pinot Noir,0.1450,750 ml,525,USA,California,Anderson Valley,Confluence,86,92,J.G.,"A distinctive, roasted, smoky aroma tops this full-bodied and well-structured wine before black-fruit flavors and an array of clove, cinnamon and cedar kick in.",2020-03-11,2020-03-06,2020-08-01,goldeneye-2017-confluence-pinot-noir-anderson-valley
